Total floor area,Window fraction,Annual Average temperature,Occupancy level,Total heating and cooling energy use - GJ
2500,0.14,58.45,3.57,477.15
2500,0.14,58.45,1.65,477.16
2500,0.14,58.45,4.2,477.43
2500,0.14,58.45,3.92,477.85
2500,0.14,58.45,2.69,477.76
2500,0.14,58.45,2.36,477.57
2500,0.14,58.45,4.05,477.53
2500,0.14,58.45,2.11,478.09
2500,0.14,58.45,3.05,477.99
2500,0.14,58.45,2.45,477
2500,0.14,58.45,2.24,476.89
2500,0.14,58.45,1.96,477.23
2500,0.14,58.45,2.06,477.22
2500,0.14,58.45,1.46,477.89
2500,0.14,58.45,4.31,477.68
2500,0.14,58.45,2.79,478.21
2500,0.14,58.45,4.55,478.35
2500,0.14,58.45,4.73,477.52
2500,0.14,58.45,2.54,477.05
2500,0.14,58.45,3.18,477.87
2500,0.14,58.45,1.71,478.12
2500,0.14,58.45,1.85,477.47
2500,0.14,58.45,1.59,477.67
2500,0.14,58.45,2.93,476.98
2500,0.14,58.45,4.78,477.82
2500,0.14,58.45,2.97,477.78
2500,0.14,58.45,2.5,477.97
2500,0.14,58.45,1.34,477.11
2500,0.14,58.45,3.64,477.71
2500,0.14,58.45,2.59,477.94
2500,0.14,58.45,1.89,478.11
2500,0.14,58.45,4,477.05
2500,0.14,58.45,2.21,477.34
2500,0.14,58.45,3.36,477.67
2500,0.14,58.45,3.98,477.36
2500,0.14,58.45,1.61,477.27
2500,0.14,58.45,3.39,477.51
2500,0.14,58.45,3.3,477.31
2500,0.14,58.45,2.31,477.55
2500,0.14,58.45,2.12,477.24
2500,0.14,58.45,3.79,477.92
2500,0.14,58.45,3.51,477.16
2500,0.14,58.45,2.48,478.03
2500,0.14,58.45,3.82,477.77
2500,0.14,58.45,3.86,477.51
2500,0.14,58.45,2.64,477.06
2500,0.14,58.45,2.39,477.37
2500,0.14,58.45,4.13,477.14
2500,0.14,58.45,3,477.65
2500,0.14,58.45,1.37,477.57
2500,0.14,58.45,1.22,477.29
2500,0.14,58.45,3.25,478
2500,0.14,58.45,3.75,477.04
2500,0.14,58.45,1.83,477.52
2500,0.14,58.45,3.07,477.61
2500,0.14,58.45,1.79,476.52
2500,0.14,58.45,2.61,477.21
2500,0.14,52.5,2.38,490.66
2500,0.14,52.5,1.77,491.08
2500,0.14,52.5,2.25,491.26
2500,0.14,52.5,4.08,489.92
2500,0.14,52.5,2.71,489.45
2500,0.14,52.5,3.57,490.53
2500,0.14,52.5,4.57,490.87
2500,0.14,52.5,3.22,489.23
2500,0.14,52.5,2.82,491.04
2500,0.14,52.5,3.42,489.41
2500,0.14,52.5,2.56,488.59
2500,0.14,52.5,2.29,488.89
2500,0.14,52.5,2.75,490.81
2500,0.14,52.5,2.15,490.48
2500,0.14,52.5,3.02,489.13
2500,0.14,52.5,3.13,488.67
2500,0.14,52.5,2.96,489.79
2500,0.14,52.5,4.9,489.05
2500,0.14,52.5,4.23,490.2
2500,0.14,52.5,3.15,488.62
2500,0.14,52.5,2.44,489.9
2500,0.14,52.5,4.47,490.39
2500,0.14,52.5,2.05,488.97
2500,0.14,52.5,3.09,489.7
2500,0.14,52.5,2.52,489.26
2500,0.14,52.5,1.54,490.15
2500,0.14,52.5,3.35,489.34
2500,0.14,52.5,1.99,489.68
2500,0.14,52.5,3.29,490.43
2500,0.14,52.5,2.18,490.24
2500,0.14,52.5,2.66,489.87
2500,0.14,52.5,2.84,489.67
2500,0.14,52.5,4.37,490.7
2500,0.14,52.5,3.2,488.86
2500,0.14,52.5,1.93,488.24
2500,0.14,52.5,2.4,489.97
2500,0.14,52.5,2.33,489.73
2500,0.14,52.5,3.47,490.57
2500,0.14,52.5,2.76,490.65
2500,0.14,52.5,3.62,489.64
2500,0.14,52.5,2.57,489.36
2500,0.14,52.5,3.49,490.6
2500,0.14,52.5,2.69,489.98
2500,0.14,52.5,2.02,489.15
2500,0.14,52.5,3.57,488.86
2500,0.14,52.5,1.65,489.21
